개방자치단체코드,관리번호,사업장명,도로명전체주소,소재지전체주소,영업상태명,상세영업상태명,소재지전화,좌표정보(X),좌표정보(Y),데이터기준일자
3220000,322000001020210002,VIP동물의료센터 청담점,"서울특별시 강남구 삼성로133길 7, 베디베로스퀘어 2,3,4층 (청담동)","서울특별시 강남구 청담동 41-2",영업/정상,정상,025117522,,
3200000,320000001020080002,서울대학교 수의과대학 동물병원,서울특별시 관악구 관악로 1 (신림동),서울특별시 관악구 신림동 산56-1,영업/정상,정상,028808661,,
3000000,300000001020130001,효자동물병원,서울특별시 종로구 자하문로 66-2 (효자동),서울특별시 종로구 효자동 31,휴업,휴업,,197364.614476836,453303.293915738,2025-12-15
